  using mpirun -n 2 pingpong
  
  size (B)          time (µs)        rate (MB/s)
         8               1.03               7.80
        16               1.03              15.60
        24               1.03              23.31
        32               1.07              29.97
        48               1.07              44.91
        64               1.08              59.44
        88               1.11              79.57
       112               1.40              80.21
       144               1.40             102.64
       184               1.40             131.50
       232               1.42             163.74
       296               1.43             207.66
       376               1.44             260.26
       472               1.49             315.77
       592               1.52             388.60
       744               1.57             474.40
       936               1.62             577.17
      1176               1.71             686.75
      1472               1.82             808.73
      1848               1.93             959.15
      2312               2.07            1119.31
      2896               2.21            1312.48
      3624               2.41            1504.39
      4536               3.11            1459.84
      5672               3.47            1632.77
      7096               3.84            1849.12
      8872               4.48            1982.52
     11096               4.91            2259.77
     13872               5.61            2472.73
     17344               6.52            2659.82
     21688               7.46            2905.34
     27112               8.80            3080.90
     33896              10.46            3239.24
     42376              12.64            3352.60
     52976              14.14            3747.64
     66224              16.65            3977.43
     82784              20.32            4073.93
    103488              23.73            4361.10
    129368              28.70            4507.65
    161712              34.24            4722.34
    202144              42.12            4798.67
    252688              51.59            4897.98
    315864              63.25            4993.52
    394832              78.37            5038.01
    493544              97.55            5059.39
    616936             127.87            4824.72
    771176             179.62            4293.27
    963976             250.67            3845.60
   1204976             344.17            3501.10
   1506224             449.76            3348.99
   1882784             558.76            3369.55
   2353488             696.85            3377.35
   2941864             863.05            3408.70
   3677336            1104.89            3328.24
   4596672            1509.45            3045.26
   5745848            1945.59            2953.26
   7182312            2459.16            2920.63
   8977896            3061.95            2932.08
  11222376            3805.06            2949.33
  14027976            4768.12            2942.03

using mpirun -n 2 npersocket 1 pingpong

 size (B)          time (µs)        rate (MB/s)
         8               1.44               5.55
        16               1.44              11.09
        24               1.50              16.00
        32               1.49              21.46
        48               1.50              31.98
        64               1.50              42.68
        88               1.57              56.06
       112               2.28              49.16
       144               2.26              63.63
       184               2.23              82.57
       232               2.25             103.11
       296               2.27             130.59
       376               2.33             161.30
       472               2.37             199.37
       592               2.48             238.33
       744               2.65             280.75
       936               2.74             341.64
      1176               3.06             384.91
      1472               3.49             421.47
      1848               3.79             486.97
      2312               4.06             569.56
      2896               4.49             644.42
      3624               5.09             711.52
      4536               5.83             778.27
      5672               6.39             887.02
      7096               7.34             966.63
      8872               8.63            1027.95
     11096              11.23             988.01
     13872              12.74            1088.46
     17344              15.01            1155.52
     21688              18.15            1194.96
     27112              20.33            1333.29
     33896              24.45            1386.62
     42376              29.65            1429.22
     52976              32.60            1624.78
     66224              37.16            1782.14
     82784              43.55            1900.71
    103488              51.61            2005.17
    129368              60.42            2140.98
    161712              73.65            2195.83
    202144              90.64            2230.20
    252688             107.89            2342.08
    315864             132.94            2376.08
    394832             163.58            2413.62
    493544             202.12            2441.89
    616936             249.56            2472.05
    771176             308.83            2497.09
    963976             384.72            2505.65
   1204976             480.42            2508.15
   1506224             594.70            2532.73
   1882784             746.00            2523.86
   2353488             929.96            2530.75
   2941864            1166.45            2522.06
   3677336            1460.26            2518.28
   4596672            1822.07            2522.77
   5745848            2270.60            2530.54
   7182312            2838.12            2530.66
   8977896            3633.28            2471.02
  11222376            4637.36            2419.99
  14027976            5818.06            2411.11

using mpirun -n 2 --mca btl self,tcp pingpong

  size (B)          time (µs)        rate (MB/s)
         8              25.34               0.32
        16              25.42               0.63
        24              25.41               0.94
        32              25.46               1.26
        48              25.45               1.89
        64              25.44               2.52
        88              25.51               3.45
       112              25.55               4.38
       144              25.54               5.64
       184              25.52               7.21
       232              25.55               9.08
       296              25.64              11.55
       376              25.68              14.64
       472              25.72              18.35
       592              25.88              22.88
       744              25.94              28.68
       936              21.00              44.56
      1176              21.20              55.48
      1472              21.37              68.89
      1848              21.59              85.61
      2312              21.84             105.85
      2896              22.20             130.46
      3624              22.62             160.19
      4536              23.10             196.40
      5672              23.64             239.97
      7096              24.29             292.19
      8872              26.21             338.55
     11096              27.16             408.48
     13872              28.61             484.78
     17344              30.02             577.74
     21688              32.09             675.75
     27112              34.45             786.99
     33896              46.35             731.31
     42376              50.29             842.64
     52976              55.43             955.65
     66224              74.73             886.23
     82784              83.87             987.00
    103488              88.59            1168.16
    129368             101.13            1279.22
    161712             122.55            1319.51
    202144             134.95            1497.91
    252688             159.47            1584.50
    315864             196.88            1604.39
    394832             232.86            1695.54
    493544             296.62            1663.87
    616936             369.77            1668.43
    771176             466.44            1653.31
    963976             591.20            1630.54
   1204976             719.21            1675.41
   1506224             896.47            1680.17
   1882784            1101.57            1709.17
   2353488            1358.99            1731.79
   2941864            1760.64            1670.91
   3677336            2344.71            1568.35
   4596672            2935.01            1566.15
   5745848            3888.77            1477.55
   7182312            4851.60            1480.40
   8977896            6058.65            1481.83
  11222376            7564.59            1483.54
  14027976            9441.98            1485.70
